labels,lab,author
1,Bayesian methodology (66),"Alan E Gelfand, David Dunson, Abel Rodriguez, Gary L Rosner, Peter Muller, Steven N MacEachern, Lawrence Carin, Mark F J Steel, Gareth Roberts, Ju-Hyun Park"
2,Bayesian theory (31),"Mike West, Hemant Ishwaran, J Sunil Rao, Carlos M Carvalho, James O Berger, Helene Massam, James G Scott, Chris Hans, Anirban Bhattacharya, Nicholas G Polson"
3,Design of experiments (40),"Boxin Tang, Randy R Sitter, Derek Bingham, C Devon Lin, Dennis K J Lin, David M Steinberg, Neil A Butler, Hongquan Xu, V Roshan Joseph, Shan Ba"
4,Multivariate & dimension reduction (17),"Bing Li, R Dennis Cook, Peng Zeng, Liqiang Ni, Francesca Chiaromonte, Yuexiao Dong, Robert E Weiss, Zhishen Ye, Ronghua Luo, Xiangrong Yin"
5,High-dimensional theory (26),"Alexandre B Tsybakov, Marten H Wegkamp, Vladimir Koltchinskii, Florentina Bunea, Alexandre Belloni, Victor Chernozhukov, Yaacov Ritov, Olivier Bousquet, Peter L Bartlett, Karim Lounici"
6,Non-parametrics & wavelets (28),"Iain M Johnstone, Bernard W Silverman, Theofanis Sapatinas, Marianna Pensky, Gerard Kerkyacharian, Dominique Picard, Felix Abramovich, Marc Raimondo, Axel Munk, Vadim Grinshtein"
7,Multiple testing & inference (110),"Christopher Genovese, Larry Wasserman, Yoav Benjamini, John D Storey, T Tony Cai, Jonathan E Taylor, David Siegmund, Jiashun Jin, Sanat K Sarkar, Helmut Finner"
8,Functional data analysis (73),"Hans-Georg Muller, Fang Yao, Peter Hall, Jane-Ling Wang, Piotr Kokoszka, Siegfried Hormann, Robertas Gabrys, Lajos Horvath, Mohammad Hosseini-Nasab, Ulrich Stadtmuller"
9,Non- & semi-parametric methods (114),"Raymond J Carroll, Xihong Lin, Naisyin Wang, Xuming He, Donglin Zeng, Enno Mammen, Guosheng Yin, Hua Liang, Joseph G Ibrahim, Jing Qin"
10,High-dimensional methodology (201),"Hui Zou, Jianqing Fan, Yi Lin, Peter Buhlmann, Trevor J Hastie, Ming Yuan, Hao Helen Zhang, Jian Huang, Hansheng Wang, Ji Zhu"
